T(K),a,da/dT
22.9393,0,0
22.9393,0,0
22.9393,0,0
22.9393,0,0
23.1419,-5.35E-05,5.35E-05
23.7497,0.009992375,0.010045849
25.1679,0.009618061,0.000374314
29.929,0.008361436,0.001256625
44.5162,0.00451135,0.003850086
64.8775,0.00451135,0.005374078
73.488,0.00451135,0.00227262
73.6906,0.007017448,0.010152796
73.488,0.007070921,5.35E-05
73.488,0.007070921,0
73.8932,0.006963974,0.000106947
74.501,0.006803554,0.00016042
75.514,0.016742456,0.009938902
78.3504,0.015993828,0.000748628
84.9349,0.014255942,0.001737886
98.5091,0.010673223,0.003582719
106.4105,0.018794029,0.008120806
109.7534,0.017911718,0.000882311
111.0703,0.017564141,0.000347577
110.7664,0.02785062,0.010286479
114.3119,0.026914835,0.000935785
118.8704,0.035917952,0.009003117
127.5822,0.033618596,0.002299357
138.0161,0.030864715,0.002753881
145.7149,0.039038994,0.008174279
150.5773,0.037755632,0.001283362
153.7176,0.047133063,0.009377431
156.9592,0.046277489,0.000855575
161.3151,0.04512781,0.001149678
167.4944,0.043496871,0.001630939
174.9906,0.051724624,0.008227753
182.6894,0.049692634,0.00203199
189.1726,0.058187754,0.00849512
194.6428,0.056743972,0.001443782
199.7078,0.055407136,0.001336835
205.178,0.053963354,0.001443782
211.256,0.062565421,0.008602067
217.334,0.060961218,0.001604202
223.412,0.059357016,0.001604202
230.503,0.057485446,0.00187157
236.581,0.066087513,0.008602067
241.646,0.064750677,0.001336835
247.724,0.063146475,0.001604202
253.802,0.061542273,0.001604202
259.88,0.070144339,0.008602067
265.958,0.068540137,0.001604202
272.036,0.066935934,0.001604202
278.114,0.065331732,0.001604202
280.14,0.064796998,0.000534734
282.166,0.074468533,0.009671535
284.192,0.073933798,0.000534734
286.218,0.073399064,0.000534734
288.244,0.07286433,0.000534734
290.27,0.072329596,0.000534734
292.296,0.082001131,0.009671535
294.322,0.081466397,0.000534734
296.348,0.080931663,0.000534734
298.374,0.080396928,0.000534734
300.4,0.090068463,0.009671535
302.426,0.089533729,0.000534734
304.452,0.088998995,0.000534734
306.478,0.09867053,0.009671535
308.504,0.118548334,0.019877804
310.53,0.128219869,0.009671535
312.556,0.137891404,0.009671535
314.582,0.147562938,0.009671535
316.608,0.157234473,0.009671535
318.634,0.166906008,0.009671535
320.66,0.176577543,0.009671535
322.686,0.186249078,0.009671535
324.712,0.195920613,0.009671535
326.738,0.205592148,0.009671535
329.777,0.214996315,0.009404168
331.803,0.22466785,0.009671535
333.829,0.224133116,0.000534734
335.855,0.233804651,0.009671535
337.881,0.243476186,0.009671535
339.907,0.253147721,0.009671535
341.933,0.262819256,0.009671535
343.959,0.262284522,0.000534734
345.985,0.271956056,0.009671535
348.011,0.281627591,0.009671535
350.037,0.281092857,0.000534734
352.063,0.290764392,0.009671535
354.089,0.300435927,0.009671535
357.128,0.309840095,0.009404168
359.154,0.309305361,0.000534734
361.18,0.318976895,0.009671535
363.206,0.318442161,0.000534734
365.232,0.328113696,0.009671535
367.258,0.327578962,0.000534734
369.284,0.337250497,0.009671535
371.31,0.346922032,0.009671535
373.336,0.346387298,0.000534734
375.362,0.356058833,0.009671535
377.388,0.365730367,0.009671535
379.414,0.365195633,0.000534734
381.44,0.374867168,0.009671535
383.466,0.384538703,0.009671535
386.505,0.383736602,0.000802101
388.531,0.393408137,0.009671535
390.557,0.392873403,0.000534734
392.583,0.392338668,0.000534734
394.609,0.402010203,0.009671535
396.635,0.411681738,0.009671535
398.661,0.411147004,0.000534734
400.687,0.420818539,0.009671535
402.713,0.430490074,0.009671535
404.739,0.42995534,0.000534734
406.765,0.439626874,0.009671535
408.791,0.43909214,0.000534734
410.817,0.448763675,0.009671535
412.843,0.448228941,0.000534734
414.869,0.457900476,0.009671535
416.895,0.457365742,0.000534734
419.934,0.46676991,0.009404168
421.96,0.466235175,0.000534734
423.986,0.47590671,0.009671535
426.012,0.475371976,0.000534734
428.038,0.485043511,0.009671535
430.064,0.494715046,0.009671535
432.09,0.494180312,0.000534734
434.116,0.493645578,0.000534734
436.142,0.503317112,0.009671535
438.168,0.502782378,0.000534734
440.194,0.512453913,0.009671535
442.22,0.522125448,0.009671535
444.246,0.521590714,0.000534734
446.272,0.531262249,0.009671535
448.298,0.530727515,0.000534734
450.324,0.54039905,0.009671535
452.35,0.539864315,0.000534734
454.376,0.539329581,0.000534734
457.415,0.548733749,0.009404168
458.428,0.558672651,0.009938902
461.467,0.55787055,0.000802101
463.493,0.557335816,0.000534734
465.519,0.567007351,0.009671535
466.532,0.566739983,0.000267367
469.571,0.565937882,0.000802101
471.597,0.575609417,0.009671535
473.623,0.575074683,0.000534734
475.649,0.574539949,0.000534734
477.675,0.584211484,0.009671535
479.701,0.58367675,0.000534734
481.727,0.593348284,0.009671535
483.753,0.59281355,0.000534734
489.831,0.601415617,0.008602067
495.909,0.610017683,0.008602067
501.987,0.61861975,0.008602067
508.065,0.627221817,0.008602067
514.143,0.625617614,0.001604202
521.234,0.633952314,0.0083347
526.299,0.642821747,0.008869434
533.39,0.651156447,0.0083347
539.468,0.659758514,0.008602067
545.546,0.658154311,0.001604202
551.624,0.666756378,0.008602067
557.702,0.675358444,0.008602067
563.78,0.673754242,0.001604202
569.858,0.682356308,0.008602067
575.936,0.680752106,0.001604202
582.014,0.689354173,0.008602067
588.092,0.697956239,0.008602067
593.157,0.706825673,0.008869434
599.235,0.70522147,0.001604202
605.313,0.713823537,0.008602067
611.391,0.712219335,0.001604202
617.469,0.720821401,0.008602067
622.534,0.729690835,0.008869434
628.612,0.728086632,0.001604202
634.69,0.736688699,0.008602067
641.781,0.734817129,0.00187157
646.846,0.743686563,0.008869434
651.911,0.742349728,0.001336835
659.002,0.750684427,0.0083347
664.067,0.749347592,0.001336835
670.145,0.757949658,0.008602067
676.223,0.756345456,0.001604202
682.301,0.764947523,0.008602067
687.366,0.763610687,0.001336835
693.444,0.772212754,0.008602067
699.522,0.770608551,0.001604202
705.6,0.769004349,0.001604202
710.665,0.777873783,0.008869434
716.743,0.77626958,0.001604202
722.821,0.784871647,0.008602067
728.899,0.783267444,0.001604202
734.977,0.781663242,0.001604202
740.042,0.790532676,0.008869434
746.12,0.788928473,0.001604202
752.198,0.79753054,0.008602067
757.263,0.796193704,0.001336835
763.341,0.804795771,0.008602067
769.419,0.803191569,0.001604202
775.497,0.801587366,0.001604202
780.562,0.800250531,0.001336835
786.64,0.808852597,0.008602067
791.705,0.807515762,0.001336835
797.783,0.816117829,0.008602067
807.913,0.813444158,0.002673671
812.978,0.812107323,0.001336835
817.03,0.821244123,0.009136801
822.095,0.819907288,0.001336835
827.16,0.828776722,0.008869434
